title;collection;link
GA-2100SKE-7AER;G-SHOCK;https://shop.casio.ru/catalog/g-shock-youth/ga-2100ske-7aer/
GA-2100-1AER;G-SHOCK;https://shop.casio.ru/catalog/g-shock-youth/ga_2100_1aer/
DW-5600E-1VER;G-SHOCK;https://shop.casio.ru/catalog/g-shock/dw_5600e_1ver/
AWM-500GC-1AJR;G-SHOCK;https://shop.casio.ru/catalog/g-shock/awm_500gc_1ajr/
DW-5600DAILY21-1ER;G-SHOCK;https://shop.casio.ru/catalog/g-shock/dw-5600daily21-1er/
GA-100-1A1ER;G-SHOCK;https://shop.casio.ru/catalog/g-shock-youth/ga_100_1a1er/
GA-100B-4AER;G-SHOCK;https://shop.casio.ru/catalog/g-shock-youth/ga_100b_4aer/
GA-100B-7AER;G-SHOCK;https://shop.casio.ru/catalog/g-shock-youth/ga_100b_7aer/
GA-110LS-1AER;G-SHOCK;https://shop.casio.ru/catalog/g-shock-youth/ga_110ls_1aer/
GA-2100FR-3AER;G-SHOCK;https://shop.casio.ru/catalog/g-shock-youth/ga_2100fr_3aer/
GA-2100FR-5AER;G-SHOCK;https://shop.casio.ru/catalog/g-shock-youth/ga_2100fr_5aer/
GA-2100SU-1AER;G-SHOCK;https://shop.casio.ru/catalog/g-shock-youth/ga_2100su_1aer/
GA-900GC-7AER;G-SHOCK;https://shop.casio.ru/catalog/g-shock-youth/ga_900gc_7aer/
GM-110NE-1AER;G-SHOCK;https://shop.casio.ru/catalog/g-shock-youth/gm_110ne_1aer/
GM-2100B-4AER;G-SHOCK;https://shop.casio.ru/catalog/g-shock/gm-2100b-4aer/
GM-5600EY-1DR;G-SHOCK;https://shop.casio.ru/catalog/g-shock-youth/gm_5600ey_1dr/
GM-6900SG-9ER;G-SHOCK;https://shop.casio.ru/catalog/g-shock/gm-6900sg-9er/
GMW-B5000GD-4ER;G-SHOCK;https://shop.casio.ru/catalog/g-shock-premium/gmw_b5000gd_4er/
MRG-B1000D-1ADR;G-SHOCK;https://shop.casio.ru/catalog/g-shock-premium/mrg-b1000d-1adr/
MRG-B2000B-1ADR;G-SHOCK;https://shop.casio.ru/catalog/g-shock-premium/mrg-b2000b-1a/
